Rule ID,Resource ID,Compliance,Exception Reason,Rule Level,Rule Info
"AwsSolutions-APIG2","TaxTables/Api/Resource","Suppressed","Proxy integration: every request forwards verbatim to the FastAPI app, where Pydantic validates bodies and query parameters strictly (Phase 3 contract tests). A gateway request validator on {proxy+} ANY validates nothing.","Error","The REST API does not have request validation enabled."
"AwsSolutions-IAM4","TaxTables/Api/CloudWatchRole/Resource","Suppressed","[Policy::arn:<AWS::Partition>:iam::aws:policy/service-role/AmazonAPIGatewayPushToCloudWatchLogs] AWSLambdaBasicExecutionRole / AWSLambdaVPCAccessExecutionRole on CDK-generated Lambda roles: log-write and ENI-management permissions only, the documented minimal baseline for VPC Lambdas; replacing them with inline copies duplicates AWS-maintained policy with no privilege reduction. Also covers the API Gateway account CloudWatch role (AmazonAPIGatewayPushToCloudWatchLogs), which is log-write only.","Error","The IAM user, role, or group uses AWS managed policies."
"AwsSolutions-IAM5","TaxTables/Api/CloudWatchRole/Resource","Compliant","N/A","Error","The IAM entity contains wildcard permissions and does not have a cdk-nag rule suppression with evidence for those permission."
"AwsSolutions-APIG1","TaxTables/Api/DeploymentStage.v1/Resource","Compliant","N/A","Error","The API does not have access logging enabled."
"AwsSolutions-APIG3","TaxTables/Api/DeploymentStage.v1/Resource","Compliant","N/A","Warning","The REST API stage is not associated with AWS WAFv2 web ACL."
"AwsSolutions-APIG6","TaxTables/Api/DeploymentStage.v1/Resource","Compliant","N/A","Error","The REST API Stage does not have CloudWatch logging enabled for all methods."
"AwsSolutions-APIG4","TaxTables/Api/Default/{proxy+}/ANY/Resource","Suppressed","By design (CLAUDE.md hardening): GET endpoints are public, read-only tax data; the write path enforces X-API-Key in the app with a constant-time compare, backed by WAF managed rules and a per-IP rate limit at the edge. An IAM/Cognito authorizer would gate the public reads the product requires open.","Error","The API does not implement authorization."
"AwsSolutions-COG4","TaxTables/Api/Default/{proxy+}/ANY/Resource","Suppressed","Same rationale as APIG4: no user pool exists in this design; auth is app-level API key on the single write route.","Error","The API GW method does not use a Cognito user pool authorizer."
"AwsSolutions-APIG4","TaxTables/Api/Default/ANY/Resource","Suppressed","By design (CLAUDE.md hardening): GET endpoints are public, read-only tax data; the write path enforces X-API-Key in the app with a constant-time compare, backed by WAF managed rules and a per-IP rate limit at the edge. An IAM/Cognito authorizer would gate the public reads the product requires open.","Error","The API does not implement authorization."
"AwsSolutions-COG4","TaxTables/Api/Default/ANY/Resource","Suppressed","Same rationale as APIG4: no user pool exists in this design; auth is app-level API key on the single write route.","Error","The API GW method does not use a Cognito user pool authorizer."
